time_s,standard_frequency_hz,transient_frequency_hz,standard_power_pu,transient_power_pu,standard_gate_pu,transient_gate_pu
0.00,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.01,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.02,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.03,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.04,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.05,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.06,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.07,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.08,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.09,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.10,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.11,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.12,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.13,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.14,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.15,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.16,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.17,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.18,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.19,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.20,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.21,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.22,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.23,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
0.24,50.0000000,50.0000000,0.0000000,0.0000000,0.8000000,0.8000000
