time_s,delta_deg,frequency_hz,electrical_power_pu,pmax_pu
0.000,32.230953,50.000000,0.800000,1.500000
0.200,32.230953,50.000000,0.800000,1.500000
0.400,32.230953,50.000000,0.800000,1.500000
0.600,32.230953,50.000000,0.800000,1.500000
0.800,32.230953,50.000000,0.800000,1.500000
1.000,32.230953,50.000000,0.800000,1.500000
1.200,32.230953,50.000000,0.800000,1.500000
1.400,32.230953,50.000000,0.800000,1.500000
1.600,32.230953,50.000000,0.800000,1.500000
1.800,32.230953,50.000000,0.800000,1.500000
2.000,32.230953,50.000000,0.800000,1.500000
2.200,32.230953,50.000000,0.800000,1.500000
2.400,32.230953,50.000000,0.800000,1.500000
2.600,32.230953,50.000000,0.800000,1.500000
2.800,32.230953,50.000000,0.800000,1.500000
3.000,32.230953,50.000000,0.800000,1.500000
3.200,32.230953,50.000000,0.800000,1.500000
3.400,32.230953,50.000000,0.800000,1.500000
3.600,32.230953,50.000000,0.800000,1.500000
3.800,32.230953,50.000000,0.800000,1.500000
4.000,32.230953,50.000000,0.800000,1.500000
4.200,32.230953,50.000000,0.800000,1.500000
4.400,32.230953,50.000000,0.800000,1.500000
4.600,32.230953,50.000000,0.800000,1.500000
4.800,32.230953,50.000000,0.800000,1.500000
5.000,32.230953,50.000000,0.586667,1.100000
5.200,40.670420,50.205468,0.716878,1.100000
5.400,55.816727,50.174434,0.909969,1.100000
5.600,61.866078,49.981990,0.970033,1.100000
5.800,53.700729,49.809295,0.886529,1.100000
6.000,39.000079,49.823680,0.692254,1.100000
6.200,33.437027,50.039418,0.606122,1.100000
6.400,43.316625,50.202361,0.754632,1.100000
6.600,56.878306,50.139403,0.921263,1.100000
6.800,60.344608,49.950512,0.955919,1.100000
7.000,50.887032,49.808796,0.853494,1.100000
7.200,37.627581,49.861527,0.671579,1.100000
7.400,35.010420,50.073572,0.631098,1.100000
7.600,45.844125,50.192921,0.789192,1.100000
7.800,57.559585,50.103580,0.928345,1.100000
8.000,58.554410,49.922733,0.938450,1.100000
8.200,48.199315,49.814973,0.820015,1.100000
8.400,36.754512,49.901388,0.658226,1.100000
8.600,36.889882,50.101052,0.660307,1.100000
8.800,48.159181,50.177586,0.819501,1.100000
9.000,57.824960,50.067945,0.931068,1.100000
9.200,56.536739,49.899783,0.917664,1.100000
9.400,45.735838,49.827926,0.787742,1.100000
9.600,36.409768,49.941442,0.652912,1.100000
9.800,38.986330,50.120923,0.692048,1.100000
10.000,50.178304,50.157209,0.844845,1.100000
10.200,57.665109,50.033560,0.929430,1.100000
10.400,54.357689,49.882622,0.893938,1.100000
10.600,43.590958,49.847169,0.758456,1.100000
10.800,36.585804,49.979742,0.655629,1.100000
11.000,41.194051,50.132801,0.724472,1.100000
11.200,51.834691,50.132916,0.864854,1.100000
11.400,57.095841,50.001507,0.923538,1.100000
11.600,52.101960,49.871957,0.868016,1.100000
11.800,41.844898,49.871662,0.733828,1.100000
12.000,37.240200,50.014446,0.665674,1.100000
12.200,43.401999,50.136840,0.755824,1.100000
12.400,53.082283,50.105979,0.879449,1.100000
12.600,56.156064,49.972827,0.913613,1.100000
12.800,49.865403,49.868146,0.840986,1.100000
13.000,40.555149,49.899920,0.715198,1.100000
13.200,38.300780,50.044010,0.681769,1.100000
13.400,45.503955,50.133664,0.784629,1.100000
13.600,53.897612,50.077717,0.888762,1.100000
13.800,54.904834,49.948462,0.900018,1.100000
14.000,47.746676,49.871133,0.814197,1.100000
14.200,39.750635,49.930173,0.703392,1.100000
14.400,39.673428,50.067329,0.702252,1.100000
14.600,47.406622,50.124261,0.809793,1.100000
14.800,54.279875,50.049418,0.893066,1.100000
15.000,53.417446,49.929192,0.883299,1.100000
15.200,45.838650,49.880425,0.789119,1.100000
15.400,39.429281,49.960549,0.698638,1.100000
15.600,41.251390,50.083808,0.725300,1.100000
15.800,49.035225,50.109852,0.830624,1.100000
16.000,54.249657,50.022292,0.892728,1.100000
16.200,51.780579,49.915573,0.864212,1.100000
16.400,44.220411,49.895106,0.767162,1.100000
16.600,39.559086,49.989266,0.700561,1.100000
16.800,42.924756,50.093361,0.749141,1.100000
17.000,50.336640,50.091773,0.846789,1.100000
17.200,53.846660,49.997425,0.888185,1.100000
17.400,50.086606,49.907879,0.843717,1.100000
17.600,42.950759,49.913919,0.749507,1.100000
17.800,40.082286,50.014795,0.708276,1.100000
18.000,44.589000,50.096355,0.772218,1.100000
18.200,51.280391,50.071380,0.858238,1.100000
18.400,53.126665,49.975748,0.879960,1.100000
18.600,48.427384,49.906055,0.822927,1.100000
18.800,42.063917,49.935379,0.736955,1.100000
19.000,40.921758,50.035974,0.720531,1.100000
19.200,46.151790,50.093511,0.793295,1.100000
19.400,51.857981,50.049975,0.865131,1.100000
19.600,52.157843,49.958005,0.868674,1.100000
19.800,46.887993,49.909709,0.803021,1.100000
20.000,41.567870,49.957917,0.729857,1.100000
